Name,Distance,Mass,Radius
Sirius,8.6,2.1,1.71
Canopus,310.0,15,71
Alpha Centauri,4.4,1.1,1.2
Arcturus,37.0,1.1,26
Vega,25.0,2.2,2.7
Capella,43.0,2.6,12
Rigel,860.0,23,78.9
Procyon,11.4,1.5,1.9
Betelgeuse,640.0,20,950
Achernar,144.0,6.7,9.3
Hadar,390.0,10.5,8.6
Altair,17.0,1.8,1.8
Acrux,320.0,18,8.9
Aldebaran,65.0,1.5,44
Antares,600.0,12,680
Spica,260.0,11.43,7.47
Pollux,34.0,1.9,8.8
Fomalhaut,25.0,1.9,1.8
Mimosa,350.0,16,8.4
Regulus,77.0,3.8,3.1
Adhara,430.0,12.5,14
Shaula,700.0,14.5,8.8
Castor,52.0,2.8,2.4
Gacrux,88.0,1.5,84
Bellatrix,240.0,8.6,5.8
Elnath,130.0,5.0,4.2
Miaplacidus,110.0,3.5,6.8
Alnair,101.0,4.0,3.4
Alioth,81.0,2.9,4.2
Alnitak,1050.0,33,20
Dubhe,120.0,4.25,30
Mirfak,590.0,8.5,68
Sargas,270.0,5.7,26
Kaus Australis,140.0,3.5,6.8
Avior,630.0,9.0,130
Alkaid,104.0,6.1,3.4
Menkalinan,81.0,2.39,2.77
Atria,390.0,7,92
Alhena,109.0,2.8,3.3
Peacock,180.0,5.9,4.8
Alsephina,80.0,2.4,2.9
Mirzam,500.0,13.5,10
Polaris,430.0,5.4,39
Alphard,180.0,3.0,50
Mintaka,1200.0,24,16.5
Scheat,196.0,2.1,95
Almaaz,653.0,15,140
Rasalgethi,360.0,2.8,280
Tau Ceti,11.9,0.783,0.893
Delta Pavonis,19.92,0.991,1.22
Ran,10.48,0.82,0.74
Delta Cephei,887.0,4.5,44.5
Titawin,44.25,1.27,1.48
61 Cygni,11.41,0.7,0.665
R Doradus,178.0,0.7 - 1.0,298
Polaris Australis,281.0,1.59,3.74
54 Piscium,36.1,0.76,0.94
Mira,300.0,1.2,370
Lacaille 8760,12.87,0.6,0.51
HD 140283,190.0,?,1.4
II Pegasi,130.0,0.8,3.4
Barnard's Star,5.98,0.14,0.20
Luhman 16,6.52,0.04,?
Proxima Centauri,4.25,0.12,0.15
Gliese 1214,47.5,0.16,0.21
VB 10,18.72,0.075,0.10
TRAPPIST-1,39.6,0.089,0.12
2MASS J0523-1403,40.3,0.07,0.086
